url,matching_links
https://www.privateaser.com/lieu/49884-choubichou,https://www.google.com/maps/search/?api=1&query=5%20Rue%20Mond%C3%A9tour%2075001%20Paris&query_place_id=ChIJtxCNlkBv5kcRiO7AEpOoRIc
https://www.pieddecochon.com//?utm_source=Google&utm_medium=GMB&utm_campaign=PDC&y_source=1_MTE2NjUxNzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=PDC&y_source=1_MTE2NjUxNzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-424855,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=PDC&y_source=1_MTE2NjUxNzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-421046,/photos/?utm_source=Google&utm_medium=GMB&utm_campaign=PDC&y_source=1_MTE2NjUxNzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#la-carte,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=PDC&y_source=1_MTE2NjUxNzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D"
https://www.paris-bistro.com/choisir/paris1/bistrot-des-victoires,"https://www.paris-bistro.com/la-carte-des-vins,https://www.paris-bistro.com/cuisine/alimentation/des-filieres-courtes-et-un-label-pour-remettre-le-gibier-francais-au-menu"
https://carpediem-cafe-paris.fr/,https://wiicmenu-qrcode.com/app/offre.php?resto=277
https://www.robeetlepalais.fr/,/menus-carte/
https://lerelaisdulouvre.com/,https://lerelaisdulouvre.com/menu/
https://www.auterminusduchatelet.com/,/menus-carte/
https://www.vaudevilleparis.com//?utm_source=Google&utm_medium=GMB&utm_campaign=VAU&y_source=1_MTE2NjUxODktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=VAU&y_source=1_MTE2NjUxODktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D#menu-424478,/menus-carte/?utm_source=Google&utm_medium=GMB&utm_campaign=VAU&y_source=1_MTE2NjUxODktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D"
https://www.lempirebrasserie.com/,/menus-carte/
https://www.legrandcolbert.fr/,/menus-carte/
https://commeunbouillon.com/,https://commeunbouillon.com/wp-content/uploads/2024/09/comme-un-bouillon-le-menu.pdf
https://www.brasserielespetitscarreaux.com/,/menus-carte/
https://www.lefiefbrasserie.fr/,/menus-carte/
https://www.privateaser.com/lieu/40536-le-sentier,https://www.google.com/maps/search/?api=1&query=97%20Rue%20R%C3%A9aumur%2075002%20Paris&query_place_id=ChIJM_633xdu5kcR030T5I8cjj8
https://www.aubistroparis.fr/,/menus-carte/
https://www.larotondesthonore.com/,https://larotondesthonore.mimohca.com/
https://gallopin.com/,#
https://www.bistrotgisele.com/,https://www.bistrotgisele.com/alacarte
https://www.publichouseparis.fr/,/menus-carte/
https://www.privateaser.com/lieu/2597-les-pieds-nickeles-bar,https://www.google.com/maps/search/?api=1&query=120%20Rue%20Saint-Denis%2075002%20Paris&query_place_id=ChIJHdeFjhlu5kcRlpMTb5Z7UGI
